OMEGAWIKI	SEEALSO	GLOSS	SEMANTICFIELD	DEFINITION	POS	WOLD
372196	372193;372199	ARCH	The house	An arch-shaped arrangement of trapezoidal stones, designed to redistribute downward force outward.	Noun	7.58
1505700	-	ARCTIC LIGHTS	The physical world	A natural light display in the sky particularly in the Arctic regions.	Noun	1.771
6894	-	ARM	The body	The upper limb, extending from the shoulder to the wrist and sometimes including the hand.	Noun	4.31
817621	-	ARMADILLO	Animals	(family Dasypodidae) Burrowing chiefly nocturnal mammal with body covered with strong horny plates.	Noun	-
454297	-	ARMOUR	Warfare and hunting	Clothing that soldiers wear to protect themselves during combat. Historically made of leather or metal, today special materials like kevlar are used.	Noun	20.31
818235	-	ARMPIT	The body	The hollow under the upper part of the arm at the shoulder.	Noun	4.312
6414	-	ARMY	Warfare and hunting	A large, military force concerned mainly with ground operations.	Noun	20.15
6432	-	ARRANGE	Basic actions and technology	To give structure to.	Verb	-
5965	-	ARRIVE	Motion	To come to a destination.	Verb	10.55
420887	-	ARROW	Warfare and hunting	Pointed projectile that is shot with a bow.	Noun	20.25
819524	-	ARSON	Law	The crime of setting fire to a building or a property on purpose.	Noun	21.46
8473	-	ARTERY	The body	A blood vessel transporting blood away from the heart.	Noun	4.151
264	-	ASH	The physical world	The incombustible matter remaining after a substance has been incinerated.	Noun	1.84
823950	-	ASHAMED	Emotions and values	Feeling shame or guilt.	Adjective	-
5717	955350	ASK, INQUIRE	Speech and language	To ask (a question) to somebody; to seek an answer to.	Verb	18.31
7621	1495114	ASK, REQUEST	Speech and language	To desire a service or physical goods, often without returning the favor in kind.	Verb	18.35
834474	-	ASTONISHED	Emotions and values	Filled with the emotional impact of overwhelming surprise or shock.	Adjective	16.15
6078	-	AT	Spatial relations	With very little distance to or in a particular place or location.	Function word	12.013
1108044	-	ATOP	Spatial relations	In a higher position, with respect to a lower one.	Function word	-
337168	436121	ATTACK	Warfare and hunting	The application of violent force to someone or something.	Noun	20.43
507273	-	AUBERGINE	Food and drink	An Asian plant, Solanum melongena, cultivated for its edible purple, green, or white ovoid fruit.	Noun	-
5591	-	AUNT	Kinship	A woman with one or more siblings who have one or more children; a sister of someone's father or mother.	Noun	2.52
5615	-	AUTUMN	Time	The season after summer and before winter, traditionally from September 21 to December 20 in the northern hemisphere and from March 21 to June 20 in the southern hemisphere.	Noun	14.77
1505847	-	AWL	Clothing and grooming	Pointed tool for marking or piercing wood or leather.	Noun	6.37
333200	-	AXE	Basic actions and technology	A tool for felling trees or chopping wood consisting of a heavy metallic head flattened to a blade on one side, and which is attached to a usually wooden handle.	Noun	9.25
7167	-	AXLE	Motion	The central part of a wheel, that usually does not turn.	Noun	10.77
541654	-	BABOON	Animals	Large ground based monkey having doglike muzzles.	Noun	-
5642	-	BABY	Kinship	A very young human being, from birth to a year old.	Noun	2.28
5648	-	BACK	The body	The rear of body, especially the part between the neck and the end of the spine and opposite the chest and belly.	Noun	4.19
5650	-	BAD	Emotions and values	Not good; unfavorable; negative.	Adjective	16.72
1107818	-	BAD LUCK	Emotions and values	An undesirable event such as an accident.	Noun	16.19
978246	-	BAIT	Warfare and hunting	Anything that serves as an enticement.	Noun	20.56
1392775	-	BAKE	Food and drink	To cook (something) in an oven, but not in fat.	Verb	5.24
490061	-	BALD	The body	Without hair on the head.	Adjective	4.93
7785	7782	BALL	Spatial relations	An object, generally spherical, used for playing games.	Noun	12.83
848903	-	BAMBOO	Agriculture and vegetation	A group of woody perennial evergreen plants in the true grass family Poaceae, subfamily Bambusoideae, tribe Bambuseae.	Noun	8.94
369665	734724	BANANA	Agriculture and vegetation	The fruit of the banana tree.	Noun	8.84
1505835	-	BANISTERIUM	Food and drink	A psychoactive infusion prepared from the Banisteriopsis spp.	Noun	-
5632	-	BANK	Modern world	A financial institution where one can borrow money (upon which interest is due) or deposit money (in order to collect interest).	Noun	23.44
1510869	-	BANYAN	Agriculture and vegetation	A tropical Indian fig tree, Ficus benghalensis, that has many aerial roots.	Noun	8.85
428797	-	BAOBAB TREE	Agriculture and vegetation	Genus of big trees (Adansonia) from the mallow family, growing in tropical countries	Noun	-
5439	-	BARK	Agriculture and vegetation	The exterior covering of the trunk and branches of a tree.	Noun	8.75
398106	-	BARLEY	Agriculture and vegetation	A strong cereal of the genus Hordeum, or its grains, often used as food or to make malted drinks.	Noun	8.44
1511024	-	BARTER	Possession	To exchange goods without involving money.	Verb	11.83
6368	-	BASKET	Basic actions and technology	A lightweight container, generally round, open at the top, and tapering toward the bottom.	Noun	9.76
7344	-	BAT	Animals	A small, nocturnal, flying mammal of the order Chiroptera, which navigates by means of echolocation. It looks like a mouse with membranous wings extending from the forelimbs to the hind limbs or tail.	Noun	3.591
1295154	850562	BATHE	The body	To clean oneself by immersion in water.	Verb	4.69
318	-	BATTERY	Modern world	A cell or several cells connected together, each cell containing the essentials for producing voltaic electricity.	Noun	23.175
158617	-	BATTLE	Warfare and hunting	An instance of combat in warfare between two or more parties wherein each group will seek to defeat the others.	Noun	20.13
1511102	-	BATTLE-AXE	Warfare and hunting	An ancient military weapon.	Noun	20.222
320	-	BAY	The physical world	An open, curving indentation made by the sea or a lake into a coastline.	Noun	1.34
6480	6478;6479;1378389	BE	Miscellaneous function words	To have existence.	Verb	24.01
6028	965540	BE ALIVE	The body	To be alive; to have a life.	Verb	4.74
474983	-	BE BORN	The body	To start living.	Verb	4.72
6345	-	BE HUNGRY	Food and drink	A need of food.	Verb	5.14
1539800	-	BE LATE	Time	to be late	Verb	14.24
1541108	-	BE MANY	Quantity	existence of an indefinite large number of someone or something.	Function word	-
1103280	-	BE SILENT	Speech and language	To stop speaking or making noise.	Verb	18.23
359542	677004	BE THIRSTY	Food and drink	A physiological need to drink.	Verb	5.15
799152	-	BEAD	Clothing and grooming	A hard, rounded object produced within the soft tissue (specifically the mantle) of a living shelled mollusk.	Noun	6.76
1142217	-	BEAK	The body	External anatomical structure of birds which is used for taking food and for eating.	Noun	4.241
498099	-	BEAM	The house	A structural member loaded on its narrow face, and typically used in a horizontal or sloping position to span between bearing points.	Noun	7.55
355931	-	BEAN	Food and drink	Any of various leguminous plants grown for their edible seeds and pods.	Noun	5.66
7552	-	BEAR	Animals	A large beast of prey of the family Ursidae, related to the dog and raccoon, having shaggy hair, a very small tail, and flat feet.	Noun	3.73
333455	-	BEARD	The body	Facial hair of humans on the chin, cheeks and jaw.	Noun	4.142
6855	-	BEAT	Basic actions and technology	To strike or pound repeatedly, usually in some sort of rhythm.	Verb	9.21
6037	-	BEAUTIFUL	Emotions and values	Having nice or positive properties (specifically with regard to the senses, and most commonly, that of sight).	Adjective	16.81
540414	-	BEAVER	Animals	A mammal of the genus Castor, having a wide, flat tail and webbed feet.	Noun	3.873
514093	-	BECAUSE	Cognition	conjunction initiating a causal phrase.	Function word	17.52
949323	-	BECOME	Miscellaneous function words	To begin to be; to come to be; to turn into.	Verb	24.02
6851	-	BED	The house	A piece of furniture, made for a person to sleep on.	Noun	7.42
880112	-	BEDBUG	Animals	A small blood-sucking insect that lives in houses, especially beds.	Noun	-
325	-	BEE	Animals	Any of the membranous-winged insects which compose the superfamily Apoidea in the order Hymenoptera characterized by a hairy body and by sucking and chewing mouthparts.	Noun	3.82
880926	-	BEECH	Agriculture and vegetation	Any tree of the genus Fagus, of temperate regions, having a smooth gray bark and bearing small, edible, triangular nuts.	Noun	8.62
1161759	763206	BEEHIVE	Animals	A structure that provides a natural habitation for bees; as in a hollow tree.	Noun	3.822
6715	-	BEER	Food and drink	An alcoholic beverage commonly fermented from barley malt, with hops or some other substance to impart a bitter flavor.	Noun	5.93
851017	-	BEESWAX	Animals	a yellowish or dark brown wax secreted by honeybees for constructing honeycombs.	Noun	3.821
8159	-	BEFORE	Spatial relations	At a time before that.	Function word	12.04
510379	-	BEGET	The body	(especially of a male parent) to procreate or generate.	Verb	4.71
853288	-	BEGGAR	Possession	A person who begs.	Noun	11.53
7451	356208;356211	BEGIN	Time	To begin an activity.	Verb	14.25
6405	355446	BEGINNING	Time	The beginning of an activity or event.	Noun	14.251
6945	-	BEHIND	Spatial relations	At the back of.	Function word	12.011
8203	-	BELIEVE	Cognition	To be confident about something.	Verb	17.15
5516	-	BELLY	The body	The lower part of the front of the torso (or a comparable part of an animal), confined by the upper side by the midriff and the lowerside by the pelvis. Contains the intestines.	Noun	4.431
6199	-	BELOW, UNDER	Spatial relations	Lower in spatial position than.	Function word	12.07
344311	-	BELT	Clothing and grooming	A clothing accessory, usually made of leather or heavy cloth, worn around the waist and used to support trousers or other articles of clothing.	Noun	6.57
961409	-	BEND	Basic actions and technology	Movement that causes the formation of a curve.	Verb	9.14
384870	-	BERRY	Food and drink	A soft fruit which develops from a superior ovary and contains seeds not encased in pits.	Noun	-
752575	-	BESIDE	Spatial relations	Having the position next to a given place, location or object	Function word	12.02
1377747	-	BETEL PEPPER VINE	Agriculture and vegetation	A vine of the species 'Piper betle' whose leaves are chewed for its medicinal properties.	Noun	-
1431444	-	BETELNUT	Agriculture and vegetation	The seed of the areca palm (Areca catechu).	Noun	-
837839	1415512	BETRAY	Cognition	To cause someone to believe an untruth; to practice trickery or fraud.	Verb	17.441
334412	-	BETWEEN	Spatial relations	In the position or interval that separates two things.	Function word	-
341	-	BICYCLE	Modern world	A vehicle with two wheels in tandem, pedals connected to the rear wheel by a chain, handlebars for steering, and a saddlelike seat.	Noun	23.13
5437	-	BIG	Spatial relations	Of a great size; the weakest sense of great size.	Adjective	12.55
468867	-	BILL	Possession	Sum owed in a restaurant, or the relative bill.	Noun	11.66
7898	-	BIRCH	Agriculture and vegetation	A tree of the genus Betula, with small leaves and a trunk that is white with darker blotches.	Noun	8.63
400	-	BIRD	Animals	Any of the bipedal, warm-blooded vertebrates that lay eggs having wings which, for most species, enables them to fly.	Noun	3.581
1511158	-	BIRTH CERTIFICATE	Modern world	official document certifying the details of a person's birth. Name, date, and parents' names are always included; details such as parents' occupation and religion may be included.	Noun	23.36
5993	-	BITE	The body	To cut off a piece by clamping the teeth.	Verb	4.58
375671	-	BITTER	Sense perception	Having an acrid taste.	Adjective	15.37
1341728	-	BLACK	Sense perception	Dark and colourless; not reflecting visible light.	Adjective	15.65
430574	-	BLACKSMITH	Basic actions and technology	A craftsman expert in iron and other metals work.	Noun	9.6
1511068	-	BLAME	Emotions and values	Culpability for something negative or undesirable.	Noun	16.78
348520	-	BLANKET	The house	A large cloth used for warmth and for sleeping.	Noun	7.422
1511134	-	BLESS	Religion and belief	To make something blessed; to confer blessing upon.	Verb	22.23
6807	-	BLIND	The body	Unable to see.	Adjective	4.97
1542706	-	BLIND MAN	The body	Person who has a complete lack of form and visual light perception.	Noun	-
6813	1107600	BLINK	The body	To make a quick wink of one or both eyelids, often repeatedly.	Verb	4.215
6518	-	BLISTER	The body	A small bubble on the skin, that contains watery fluid and is caused by heat, pressure or infection.	Noun	4.855
411	-	BLOOD	The body	A fluid connective tissue consisting of the plasma and cells that circulate in the blood vessels.	Noun	4.15
1375415	-	BLOW	Motion	(Of the wind or a current of air) To move.	Verb	10.38
1375451	-	BLOW ON FIRE	Basic actions and technology	-	Verb	-
1541173	-	BLOWGUN	Warfare and hunting	a pipe or tube through which darts or other missiles are blown by the breath.	Noun	-
357132	-	BLUE	Sense perception	Having the pure color of a clear sky; the primary color between green and violet in the visible spectrum, an effect of light with a wavelength between 450 and 500 nm.	Adjective	15.67
1511061	-	BLUNT	Sense perception	Having a thick edge or point, as an instrument; not sharp.	Adjective	15.79
5868	-	BOAR	Animals	An adult male pig.	Noun	3.32
5479	357168;357171	BOARD	The house	A piece of wood or similar material that has been sawn into a regular shape, usually in preparation for using it in some sort of construction.	Noun	7.57
1176597	-	BOAST	Speech and language	To show off.	Verb	18.45
7774	-	BOAT	Motion	A craft used for transportation of goods, fishing, racing, recreational cruising, or military use on or in the water, propelled by oars or outboard motor or inboard motor or by wind.	Noun	10.83
6179	-	BODY	The body	The physical structure of a human or animal.	Noun	4.11
1399403	-	BODY HAIR	The body	The terminal hair that develops on the human body during and after puberty.	Noun	4.144
1510400	-	BODY LOUSE	Animals	A parasitic insect that infests the body and clothes of humans and feeds on blood.	Noun	3.8112
347033	-	BOIL OF LIQUID	Food and drink	To be at a temperature (as a liquid) where it moves into the gaseous phase.	Verb	5.22
347037	-	BOIL OF SKIN	The body	A painful, local inflammation of the skin, caused by infection of a hair follicle. Usually, a hard core and pus are present.	Noun	4.856
963421	-	BOLT OF LIGHTNING	The physical world	A sudden, short, temporary burst of light.	Noun	1.57
7437	-	BOMB	Modern world	A device filled with explosives used for destroying things.	Noun	23.575
5983	-	BONE	The body	Any of the components of an endoskeleton, consisting mainly of calcium phosphate, collagen and cells.	Noun	4.16
417	-	BOOK	Speech and language	A collection of leaves of paper, parchment or other material, usually bound or fastened together within covers, containing writing of any type or blank pages for future inscription.	Noun	18.61
1285089	-	BOOMERANG	Basic actions and technology	A tool with a curved shape used as a weapon or for sport which returns when thrown into the air.	Noun	9.87
159566	-	BOOT	Clothing and grooming	A shoe that covers part of the leg.	Noun	6.52
437280	-	BOOTY	Warfare and hunting	Profits from burglary, looting and raids.	Noun	20.48
625688	-	BORE	Basic actions and technology	To create a hole by removing material with a drill.	Verb	9.46
7569	-	BORROW	Possession	To receive (something) from somebody temporarily, expecting to return it.	Verb	11.62
5783	-	BOTTLE	Modern world	A container, typically made of glass and having a tapered neck, used for holding liquids.	Noun	23.56
334481	366521	BOTTOM	Spatial relations	The part furthest in the direction toward which an unsupported object would fall.	Noun	12.34
1543020	-	BOUBOU	Clothing and grooming	a flowing wide sleeved robe worn by men in much of West Africa, and to a lesser extent in North Africa.	Noun	-
432931	-	BOUNDARY	Social and political relations	The dividing line or location between two areas.	Noun	19.17
427040	-	BOW	Warfare and hunting	A weapon made of a curved piece of wood or other flexible material whose ends are connected by a string, used for shooting arrows.	Noun	20.24
6341	-	BOWL	Food and drink	A roughly hemispherical container used to hold, mix or present food, such as salad, fruit or soup, or other items.	Noun	5.33
5905	-	BOY	Kinship	A young male person, usually a child or teenager.	Noun	2.25
710484	-	BRACELET	Clothing and grooming	Piece of jewellery worn around the wrist.	Noun	6.74
1132622	-	BRACKISH	Sense perception	(Of water) Salty or slightly salty, as a mixture of fresh and sea water.	Adjective	15.39
447700	-	BRAID	Clothing and grooming	a hair style formed by interweaving three or more strands of hair.	Noun	6.921
6504	-	BRAIN	The body	The organ of the central nervous system of an animal located in the skull that controls the actions and thoughts of the animal.	Noun	4.203
418778	-	BRAKE	Modern world	Decelerate using a mechanical device.	Verb	23.18
6343	-	BRANCH	Agriculture and vegetation	A woody part of a tree arising from the trunk and usually dividing.	Noun	8.55
1016033	-	BRAVE	Emotions and values	Having or characterized by courage.	Adjective	16.52
5910	-	BREAD	Food and drink	A common food made mainly from flour, water and yeast and produced by kneading and baking a dough.	Noun	5.51
333586	480489;480496	BREAK	Basic actions and technology	To end up in two or more pieces, which can't easily be reassembled.	Verb	9.26
1542733	-	BREAK OF ROPE	Basic actions and technology	the breaking of a thread or strap.	Verb	-
5787	-	BREAKFAST	Food and drink	The first meal of the day, usually eaten in the morning.	Noun	5.42
5992	-	BREAST	The body	The fleshy organ on the chest of a sexually mature human female containing mammary glands.	Noun	4.41
370376	-	BREATH	The body	The air inhaled and exhaled through the lungs.	Noun	-
5998	-	BREATHE	The body	To repeatedly draw air into, and expel it from, the lungs, in order to extract oxygen from it and excrete waste products.	Verb	4.51
432	-	BRICK	The house	A building material usually made from clay, molded as a rectangular block, and baked or burned in a kiln.	Noun	7.62
433	-	BRIDGE	Motion	A structure that spans and provides a passage over a road, railway, river, or some other obstacle.	Noun	10.74
333539	-	BRIGHT	Sense perception	Visually dazzling.	Adjective	15.57
334503	-	BRING	Motion	To transport toward somewhere; to take something or somebody with oneself somewhere.	Verb	10.62
160300	6852;758192	BROKEN	Basic actions and technology	Not capable of working.	Adjective	9.261
1501242	-	BROOM	Basic actions and technology	A tool used to sweep and clean the floor, made of a bundle of straws or twigs attached to a long handle.	Noun	9.38
5541	-	BROTHER	Kinship	A male person who has the same parents as another person.	Noun	2.44
509506	-	BRUISE	The body	A collection of blood in the body tissue outside the blood vessels	Noun	4.852
7562	-	BRUSH	Clothing and grooming	An implement with a handle, and a head with multiple more or less flexible bristles, used for arranging hair.	Noun	6.92
398978	-	BUFFALO	Animals	A wild heavy bison of the species Bison bison, having a broad massive horned head.	Noun	3.917
441	-	BUG	Animals	Any of the suborder Heteroptera, having piercing and sucking mouthparts, specialized as a beak. (Source: CED)	Noun	-
7714	339200;699003	BUILD	Basic actions and technology	To form by combining materials or parts.	Verb	9.44
432142	-	BULL	Animals	Male bovine animal.	Noun	3.21
908269	-	BUNCH	Food and drink	A group of things fastened or growing together.	Noun	5.712
6039	844863	BURN	The physical world	To be consumed by fire.	Verb	1.852
1299599	1232648	BURN SOMETHING	The physical world	To cause to undergo fire combustion.	Verb	1.851
702018	-	BURY	The body	to put in the ground and cover with earth.	Verb	4.78
461	-	BUS	Modern world	A large, long-bodied motor vehicle equipped with seating for passengers, usually operating as part of a scheduled service.	Noun	23.15
6933	-	BUSH	Agriculture and vegetation	A plant resembling a small tree, but has no, and will never develop, a stem.	Noun	-
5505	-	BUTTER	Food and drink	A soft, fatty foodstuff that is made by churning the cream of milk (most often cows milk).	Noun	5.89
7316	-	BUTTERFLY	Animals	A lepidopteran that is active at day	Noun	3.92
356264	-	BUTTOCKS	The body	The fleshy part of the human body that one sits on.	Noun	4.464
342095	342118	BUTTON	Clothing and grooming	A fastener consisting of a knob or disc that is passed through a slit in the adjacent material.	Noun	6.62
8061	-	BUY	Possession	To obtain in exchange for money or goods.	Verb	11.81
8038	-	BUZZARD	Animals	Diurnal bird of prey belonging to the Accipitridae family.	Noun	-
344475	-	CABBAGE	Food and drink	An edible plant, Brassica oleracea, with many varieties.	Noun	-
909821	-	CALENDAR	Modern world	A table showing the months and days of the year.	Noun	23.61
941919	-	CALF	Animals	Young cattle.	Noun	3.24
156660	-	CALF OF LEG	The body	The fleshy backside of the lower part of the leg.	Noun	4.352
470997	-	CALL	Speech and language	To order or summon by using one's voice.	Verb	18.41
1378786	-	CALL BY NAME	Speech and language	To give a name or designation of a common noun that, e.g., reflects a quality.	Verb	18.42
1505685	-	CALM	The physical world	Smooth or having only gentle waves.	Adjective	1.322
8069	-	CAMEL	Animals	A beast of burden, much used in desert areas, of the genus Camelus.	Noun	3.78
480116	-	CAMP	The house	Tents, cabins, etc., used as temporary lodgings by a group of travellers, holiday-makers, Scouts, Gypsies, etc.	Noun	7.65
452618	-	CAN	Modern world	A small, round-shaped metal container, used for different purposes like storing food or liquids, or collecting money.	Noun	23.54
5592	-	CANDLE	The house	A light source consisting of a wick embedded in a solid, flammable substance such as wax, tallow, or paraffin.	Noun	7.46
371969	-	CANDY	Modern world	Food item that is rich in sugar.	Noun	23.565
911657	-	CANOE	Motion	A light narrow boat driven by a paddle.	Noun	10.831
5641	-	CAP	Clothing and grooming	A usually soft and close-fitting head covering, either having no brim or with a visor.	Noun	6.55
684108	-	CAPE	The physical world	A piece of land extending into water.	Noun	1.343
461214	-	CAPTIVE	Warfare and hunting	A person held against his will.	Noun	20.47
1510424	-	CAPYBARA	Animals	The largest living rodent native to South America, living partly on land and partly in water.	Noun	-
482	-	CAR	Modern world	A four-wheeled motor vehicle used for land transport, usually propelled by a gasoline or diesel internal combustion engine.	Noun	23.14
7171	890454	CARCASS	The body	The body of a dead animal, on which other animals have begun to feed.	Noun	4.771
447386	-	CARPENTER	Basic actions and technology	Artisan who works with wood.	Noun	9.43
335263	-	CARRY	Motion	To lift and bring to somewhere else; to transport by lifting.	Verb	10.61
1527192	-	CARRY IN HAND	Motion	To hold or to take something from one place to another by hands.	Verb	10.612
1543608	-	CARRY ON BACK	Motion	To hold or to take something from one place to another on the back.	Verb	-
1527200	-	CARRY ON HEAD	Motion	To hold or to take something from one place to another on top of the head.	Verb	10.614
1527196	-	CARRY ON SHOULDER	Motion	To hold or to take something from one place to another on one shoulder.	Verb	10.613
1527204	-	CARRY UNDER ARM	Motion	To hold or to take something from one place to another under the arm.	Verb	10.615
1240424	-	CART	Motion	a two-wheeled vehicle, commonly without springs, drawn by mules, oxen, or the like, used for the conveyance of heavy goods.	Noun	10.75
1462598	-	CARVE	Basic actions and technology	To cut or to chip in order to form something.	Verb	9.81
395385	-	CASSAVA	Agriculture and vegetation	A starchy pulp made with the roots of the cassava plant.	Noun	8.92
1543612	-	CASSOWARY	Animals	A big flightless bird native to tropical forests of New Guinea, nearby islands and northeastern Australia.	Noun	-
1421991	-	CAST	Basic actions and technology	To pour [a hardenable liquid material, like metal, plaster, glass, concrete etc.] into a mold in order to produce a solid object of the shape of the mold.	Verb	9.63
5446	-	CAT	Animals	A common four-legged animal (Felis silvestris) that is often kept as a household pet.	Noun	3.62
335306	1506955	CATCH	Motion	To take hold of, especially in the hands, so as to seize or restrain or stop the motion of.	Verb	10.252
511	-	CATTLE	Animals	Domesticated bovine animals, including cows, steers and bulls, raised and bred on a ranch or farm.	Noun	3.2
364159	1160391	CAUSE	Cognition	That which brings about any condition or produces any effect.	Noun	17.42
513	-	CAVE	The physical world	1) An underground hollow with access from the ground surface or from the sea, often found in limestone areas and on rocky coastlines.2) A natural cavity, chamber or recess which leads beneath the surface of the earth, generally in a horizontal or obliquely inclined direction. It may be in the form of a passage or a gallery, its shape depending in part on the joint pattern or structure of the rock and partly on the type of process involved in its excavation. Thus, caves worn by subterranean rivers may be different in character from, and of considerably greater extent than, a sea-cave eroded by marine waves.3) A natural underground open space, generally with a connection to the surface and large enough for a person to enter. The most common type of cave is formed in a limestone by dissolution. (Source: CED /  WHIT /  BJGEO)	Noun	1.28
849510	1496276	CEASE	Time	To have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical.	Verb	14.28
1541218	-	CEBUS MONKEY	Animals	a Central and South American monkey, Cebus capucinus,  having a prehensile tail and hair on the head resembling a cowl.	Noun	-
915513	-	CENTIPEDE	Animals	Any of various flattened, wormlike arthropods of the class Chilopoda, whose bodies are divided into many segments, each with one pair of legs.	Noun	3.814
157395	-	CERTAIN	Cognition	Without any doubt or possibility of deviation.	Adjective	17.37
6665	-	CHAIN	Basic actions and technology	A series of interlocked rings or links forming a flexible length.	Noun	9.18
6162	7489	CHAIR	The house	An item of furniture comprising a seat, legs, back, and sometimes arm rests, on which or in which one people can sit.	Noun	7.43
640095	-	CHAMELEON	Animals	(Chamaeleonidae) A squamate that belong to one of the best-known lizard families.	Noun	3.913
5547	5546	CHANGE	Spatial relations	To make different.	Verb	12.93
535	-	CHARCOAL	The physical world	A porous solid product containing 85-98% carbon and produced by heating carbonaceous materials such as cellulose, wood or peat at 500-600 C° in the absence of air. (Source: MGH)	Noun	1.89
8184	1171283	CHEAP	Possession	Low in price.	Adjective	11.89
7034	-	CHEEK	The body	The soft skin on each side of the face, between the eyes and the chin; the outer surface of the sides of the oral cavity.	Noun	4.208
6435	-	CHEESE	Food and drink	A curdled or cultured milk product.	Noun	5.88
6532	-	CHEST	The body	The portion of the body from the base of the neck to the top of the abdomen; the thorax.	Noun	4.4
