code (Eng)	subcode (Eng)	code (fr)	sous-code (fr)	code #	subcode #	subsubcode #	short	court	ref#	date	comment	Leipzig-Jakarta	English	français	NAME Toro Tegu (Toupere, JH)	NAME Bangime (Bounou, AH)	NAME Sangha So (Moran, Sangha)	NAME Ben Tey (Beni, JH)	NAME Bankan-Tey (Walo, JH)	NAME Nanga (Anda, JH)	Jamsay (alphabet)	NAME Jamsay (Douentza area, JH)	NAME Perge Tegu (Pergué, JH)	NAME Gourou (Kiri, JH)	NAME Jamsay (Mondoro, JH)	NAME Togo-Kan (Koporo-pen, JH with BT)	NAME Yorno-So (Yendouma, JH and DT)	NAME Tomo Kan (Segue)	NAME Tomo Kan (Diangassagou)	NAME Tommo-So (Tongo Tongo, LM)	NAME Dogul Dom (Bendiely, BC)	 NAME Tebul Ure (JH)	NAME Yanda Dom (Yanda, JH)	NAME Najamba (Kubewel-Adia, JH)	NAME Tiranige (Boui, JH)	NAME Mombo (Songho, KP)	NAME Ampari (Nando, KP)	NAME Bunoge (Boudou)	NAME Penange (Pinia)
body	leg	corps	jambe	10	12	10	thigh	cuisse	00420	old		thigh	thigh, upper leg (of person)	cuisse, jambe supérieure (de personne)	pàgá		pàɣá	pì-pǎ:	pǎ:	pàgá	daŋarⁿa,digɛ	dáŋárⁿá, dígɛ́	pà-pàgá	dígɛ́		tɔ̀wɔ́	pàgá	pàʔá	pàgà	ànù pàgá	páágá	pàgá	pàgà	nà:-págà:\\-págɛ̀:	pàgà				
deixis	deictic	deixis	déictique	62	1	1	this	ceci	09654	2012 Mar	basic	this	this (proximate only, all unpredictable forms)	ceci			ɔ́ɔ́ⁿ	mǔ: (An), ŋ̀gú (Inan)								nɔ́:	nɔ̌:					ò-gú (InanSg), ě-y (InanPl), ɔ̀-ḿ (AnSg), ɔ̀-bɔ́ (AnPl)	ŋ̀gó (InanSg), ɛ̌: (InanPl), ɔ̀ŋgɛ́ (AnSg), ɔ̀míyⁿɛ̀ (AnPl)	ǒm (AnSg), ɛ̀bíyɛ̀ (AnPl), ŋ̀gú (InanSgO), ŋ̀gí (InanSgE), ěy (InanPl)	mbó				ínì X
attach/rope	tie	attacher/corde	attacher	125	6	1	tie, attach	attacher	06345	old		to tie	tie, tie up (sth or sb, with a rope)	attacher (qch ou qn, avec corde)	págú\\págá	bàà		páɣá	pá:	págí	paga	págá\\págá-lì	págá	páɣá		págá	págá\\págú, kɔ́mɔ́			kɔ́mmɔ́	kɔ̀mmɛ́	kɔ́mbú (kɔ́mbú-tì-)	kɔ́mɔ́\\kɔ́má-lì	págí\\pàgè	págó	págé		sɔ́jɛ̀	sɔ́jɛ́
body	mouth	corps	bouche	10	18	2	tongue	langue	00478	old	basic	tongue	tongue	langue (corps)	lèlá	n nɔ̀ɔ́ n jéréndɛ̀	níínɛ́	lɛ̀mdɛ̂:	lɛ̀mbìrɛ̂	nɛ́ndɛ̀	nɛnɛ	nɛ̀nɛ́	lɛ̀lɛ́	nɛ̀nɛ́	nɛ̀nɛ́	nɛ́nɛ́	nɛ́nɛ́, nɛ̀nɛ̌:	yɛ̀rɛ̀dɛ̀ⁿ	lɛ̀rdɛ̀ⁿ	nííndɛ́	nɛ̀ɛ̀ndá	nɛ́ndɛ́	nɛ̀mdà	nɛ̌ndɔ̀:\\nɛ̌ndɛ̀:	nɛ́:ndɛ̀	nè:ndé	ɛ̌:ⁿ-tìyɛ̀ (ɛ̌:ⁿ-tìyɛ̀ gé)	dɛ̀ndɛ̀-bè	nɛ̀mdɛ̀
body	tooth	corps	dent	10	21	1	tooth	dent	00499	old	basic	tooth	tooth	dent	jìrⁿó	n nɔ́ɔ̀ ŋɔ́ síìⁿ	tɔ́rⁿú	ìrⁿú ~ ìrⁿí	ŋìrⁿɛ́, ɲìrⁿɛ́	ǹnɛ́, ìnɛ́, ìrⁿɛ́	irⁿe	ìrⁿé	ìrⁿé	ìrⁿé	èrⁿé	ìrⁿí	ɛ̌n	ʔìnì	ʔìnì	ìnú	íínò	ìnú ~ ǐn	ìn	ìnɔ̌:\\ìnɛ̌:	íníŋgé	ínnì	kéndá (kéndá gè)	ʔínì	ìnì (ɲ-)
beverage	water	boisson	eau	22	9	1	water	eau	01495	old	basic	water	water	eau	ní	ɥíɛ̀	díí	nî:	nî:	nî:	ni	ní:	ní:	ní:	ní:	dí:	dǐ:	jí:	xxx	díí	ʔɲ́ì, ʔɲ́ù	ínjé	ínjú	íŋgé\\íŋgé, ínjé\\ínjé	mí:	mî:	mí: (mí: gè)	gɔ́	mì:
sound	weep	son	pleurer	122	8	2	weep	pleurer	06132	old		to cry/weep	weep (verb only)	pleurer (verbe seulement)	yí\\yɛ́, pí\\pé		píí	yɔ́	yɔ́	kóyó	ɛⁿ,pe	ɛ̌:ⁿ, pé:	kóyó	ɛ́:ⁿ	ɛ̌:ⁿ	kɔ́:ⁿ	pí:-\\pí:, yé:\\yé:			píyé			yɛ́\\yá-lì	ɲɛ́\\ɲɛ̀	kɔ́mɔ́	wɛ́:		pê:	wwɛ́:
interrogative	what	interrogation	quoi	104	2	1	what?	quoi?	05288	old	basic	what?	what?	quoi?	yé	nɛ́ ʃìⁿ		ǹjé	ǹjé	kɔ̀-ɲɛ́, ǹɲɛ́	iɲe	ìɲé	ìnjé			ìŋé	ǹjɛ́			ńjɛ́	ŋ̀gó	ìnjé, c-ìnjé	ʔə̀ɲè, cì-ʔə̀ɲè	yèŋgé	ndégé	ínjè	ìnjɛ́	ʔèbégè	njɛ̀
interrogative	who	interrogation	qui	104	1	1	who?	qui?	05287	old	basic	who?	who?	qui?	àyé	já		ǎ-m	ǎm	ǎŋ	a,ila	ǎ:, ìlá:	ǎ:			ǎ:	ǎ:			áá	ámí	à-ḿ	àm	ǎm	à:	á:	wà:	ʔà:yè	à:
thick/thin	wide (passage)	épais/mince	large (passage)	166	4	1	wide	large	07828	old		wide	wide (passageway)	(passage) large, non serré	pótó	(kíì) téŋɡò	ùsí	káwà-w	káwⁿáwⁿ	gâw	wa	wá:	wáy			wá:	wán			wánnú		wàyɛ́\\wǎy-gɔ́	wàyⁿ	wàyá-ŋgé\\wàyɛ́:	báy	bámbá		bàmbà	bámbá
weather	wind	météorologie	vent	60	6	1	wind (air)	vent	03118	old	basic	wind	wind (airflow)	vent	zámà	péʋɛ̀rɛ̀	óɲó	ó:sò	ósósô:	úsúrⁿò, úsúrⁿɔ̀	oɲo	ó:ɲó	ó:njó	ó:só	ó:ɲó	ó:ɲó	óɲɔ́			ódóró	ɛ́nnɛ̀	ídá	ɛ́nɛ́n ~ ɛ́nɛ́ŋ	énáná-ŋgó\\énáne:́ = ɛ́nɛ́nɛ́:, éná-ŋgó\\ɛ́nɛ́:	ìɲìnɛ̀	yálé	ɛ̀rɛ̀rì (ɛ̀rìgì gé)	yàlè	yàlè
part (animal)	extremity	partie (animal)	bout	13	4	1	wing	aile	00762	old		wing	wing (of bird)	aile (d'oiseau)	jɛ̀tá	(màá) kǔwò	gámúrú	gámjá	jɛ̀ndɛ̂:	kà-kásâ, jɛ̀rɛ́	gamɲu	gámɲú	gámjá	gámsá	gámɲú	gáɲá	gámìrù	gànjá	xxx	ká-kárú	gáámbùrù	ká-kárá	kàgádà	kàkàrâ:\\kàkàrɛ̂:	pɛ̀nɛ̀-pɛ̀nɛ̀	kárá-kárá		gúbà	gùbà
wood/stick	wood	bois/bâton	bois	49	1	1	wood, firewood	bois	02656	old		wood	wood	bois	tìrⁿú		tírⁿú	tìrⁿú ~ tìrⁿí	tǐn	tìrⁿí	tin	tǐn	tìrⁿí	tǐn		tǐⁿ	tǐn			tìnú	bèég, tééŋ	tìnɛ̌:	té:	té:-ŋgó\\té:	tè:ŋgè	té:ŋgé		tè:ŋgè	té:ŋgé
time (deictic)	yesterday	temps (déictique)	hier	72	3	1	yesterday	hier	03680	old		yesterday	yesterday	hier	yá:		jáá	yéŋgù ~ yêŋ	yéŋgì	yéŋìrⁿì:	ya	yá:	yá:	yá:		yá:	yá:			yáá	nìŋáá	yéŋgì	nìŋà:, nìŋà: gá	ɲǎ:	níŋá	xxx		yá:gù	yà:gù
